Semester,Composer,State,University,Ensemble,Work,Arranger
F 18,"Colonna, Jim",AK,Anchorage Community College,Concert Band,Portraits,
Spr 19,"Copland, Aaron",CA,Cal Poly Pomona University,Wind Ensemble,Variations on a Shaker Melody,
F 19,"Copland, Aaron",CA,California State Univeristy,Concert Band,An Outdoor Overture,
Spr 19,"Copland, Aaron",SC,Clemson University,Symphonic Band,Excerpts form Appalachian Spring,Longfield
Spr 19,"Cordice, Terrell",NC,Appalachian State University,Wind Ensemble,Canis Majoris,
F 18,"Corigliano, John",IN,Indiana University,Concert Band,Lullaby for Natalie,
Spr 19,"Curnow, James",NC,Appalachian State University,Concert Band,Journey,
F 18,"Curnow, James",IL,Concordia University,Wind Symphony,Where Never Lark or Eagle Flew,
F 19,"Curnow, James",CA,Concordia University - Irvine,Wind Orchestra,Fanfare and Flourishes,
F 18,"Daehn, Larry",NY,Hartwick College,Wind Ensemble,With Quiet Courage,
Spr 19,"Daehn, Larry",NY,Hartwick College,Wind Ensemble + SUNY Broome Concert Band,With Quiet Courage,
F 18,"Daehn, Larry",GA,Kennesaw State University,University Band,As Summer was just Beginning,
F 18,"Dahl, Ingolf",IN,Indiana University,Symphonic Band,Sinfonietta,
F 18,"Danyew, Steve",NY,Hartwick College,Wind Ensemble,Into the Silent Land,
Spr 19,"Danyew, Steve",IN,Indiana University,Concert Band,Magnolia Star,
Spr 19,"Daugherty, Michael",CA,Cal Poly Pomona University,Wind Ensemble,Lost Vegas,
F 18,"Daugherty, Michael",CA,Cal Poly Pomona University,Wind Ensemble,Niagara Falls,
F 18,"Daugherty, Michael",IN,Indiana University,"All 3 (WE, SB, CB)",Bells for Stokowski,
F 18,"Daughtrey, Nathan",GA,Kennesaw State University,University Band,Irish Washerwoman,
F 18,"Davis, Michael Craig",IN,Indiana University,Concert Band,War Againgst Soul,
F 19,"Dawson, Jay",CA,Concordia University - Irvine,Wind Orchestra,Come Thou Gount of Every Blessing,
Spr 19,"de Meij, Johan",SC,Bob Jones University,Symphonic Wind Band,"Symphony No. 1 ""Lord of the Rings"" (Gandalf & Hobbits)",
Spr 19,"de Meij, Johan",IL,Concordia University,Symphonic Band,Pennsylvania Faux Songs,
F 18,"de Meij, Johan",NY,Hartwick College,Wind Ensemble,"Symphony No. 1 ""Lord of the Rings"" (Gandalf)",
F 18,"Dello Joio, Norman",AK,Anchorage Community College,Concert Band,Scenes from the Louvre,
F 18,"Dello Joio, Norman",TN,East Tennessee State University,Wind Ensemble,Variants on a Medevial Tune,
Spr 19,"Dello Joio, Norman",TN,East Tennessee State University,Wind Ensemble,Variants on a Medevial Tune,
Spr 19,"der Roost, Jan Van",IL,Concordia University,Symphonic Band,I Shall Love But Thee,
F 18,"der Roost, Jan Van",TN,Johnson City Community Concert Band,Concert Band,"Puszta (Mvts I, III)",
F 18,"Dooley, Paul",IN,Indiana University,Wind Ensemble,Masks and Machines,
F 19,"Duncan, Owen",CA,Concordia University - Irvine,Wind Orchestra,Fanfare for the Defeat of the Dragon,
F 19,"Duncan, Owen",CA,Concordia University - Irvine,Wind Orchestra,To Triumph in the Strife,
F 18,"Dzubay, David",IN,Indiana University,Symphonic Band,Celebratory Fanfare NO. 1,
F 18,Elder,KS,Kansas State University,Wind Ensemble,La Virgin De La Macarena,Castellanos
F 19,"Erickson, Frank",CA,California State Univeristy,College of the Sequoias Symphonic Band,Overture Jubiloso,
Spr 19,"Erickson, Frank",KS,Kansas State University,Concert Band,Balladair,
Spr 19,"Farrell, David E.",OH,Denison University,Wind Ensemble,101 Aspects of the Digital Moon,
Spr 19,"Farrell, Kenneth L.",TN,East Tennessee State University,Concert Band,Thunger West March,
Spr 19,"Ferran, Ferrer",IL,Concordia University,Symphonic Band,"El Bosque Magico, mvt.III",
F 18,"Fillmore, Henry",GA,Kennesaw State University,University Band,Noble Men March,
F 18,"Fletcher, Percy",TN,Johnson City Community Concert Band,Concert Band,Vanity Fair Overture,Karrick
Spr 19,"Forrest, Dan",SC,Bob Jones University,Symphonic Wind Band,The King of Love My Shepherd,Turner
F 18,"Forrest, Dan",IN,Indiana University,"All 3 (WE, SB, CB)","The King of Love, My Shepard is",Turner
F 18,"Frescobaldi, Girolamo/ Cassadó, Gaspar",NC,Appalachian State University,Wind Ensemble,Toccata,Slocum
Spr 19,"Fučik, Julius",OH,Denison University,Wind Ensemble,Florentiner March,Fennell
F 19,"Fučik, Julius",KS,Hutchinson Community College,Wind Symphony,Florentiner March,
F 18,"Fukushima, Hirokazu",NY,Hartwick College,Wind Ensemble,Snow of an Aynu Village,
F 18,"Galante, Rossano",NC,Appalachian State University,Symphony Band,Resplendent Glory,
F 18,"Galante, Rossano",SC,Bob Jones University,Symphonic Wind Band,Resplendent Glory,
Spr 19,"Garrop, Stacy",NC,Appalachian State University,Wind Ensemble,Quicksilver,
F 18,"George, Ryan",IA,Graceland University,Symphonic Band,Café 512,
Spr 19,"Gershwin, George",KS,Hutchinson Community College,Wind Symphony,Rhapsody in Blue,Grofé
F 18,"Giannini, Vittorio",GA,Kennesaw State University,Wind Symphony,Symphony No. 3,
F 18,"Gilbert, Jay",OH,Columbus State Community College,Concert Band,Anniversary Fanfare,
Spr 19,"Gillingham, David",NC,Appalachian State University,Symphony Band,Angels of the Apocalypse,
F 18,"Gillingham, David",OR,Clackamas Community College,Wind Ensemble,Keep Silence,
Spr 19,"Gillingham, David",NY,Hartwick College,Wind Ensemble,Concerto no. 2 Marimba for Wind Ensemble (Mvt. III),
F 18,"Gillingham, David",IN,Indiana University,Concert Band,Be Thou My Vision,
F 18,"Gillingham, David",KS,Kansas State University,Wind Ensemble,Bright Gleams a Beacon,
Spr 19,"Gillis, Don",OH,Columbus State Community College,Concert Band,Hymn Song for Sunday,
F 18,"Gilreath, Leslie",KS,Kansas State University,Concert Band,Sarcophagus,
Spr 19,"Giroux, Julie",NC,Appalachian State University,Concert Band,Our Cast Aways,
F 18,"Giroux, Julie",CA,Cal Poly Pomona University,Symphonic Band,One Life Beautiful,
F 18,"Giroux, Julie",NY,Hartwick College,Wind Ensemble,Journey Through Orion,
Spr 19,"Giroux, Julie",KS,Hutchinson Community College,Wind Symphony,Overture in Five Flat,
Spr 19,"Gjeilo, Ola",IL,Concordia University,Symphonic Band,Meridian,
F 18,"Gjeilo, Ola",IL,Concordia University,Wind Symphony,Meridian,
F 18,"Gjeilo, Ola",IL,Concordia University,Wind Symphony,Sanctus,
F 18,"Gorb, Adam",AR,Henderson State University,Wind Ensemble,Suite for Winds,
Spr 19,"Gorb, Adam",IN,Indiana University,Wind Ensemble,Awayday,
F 18,"Goto, Yo",OH,Columbus State Community College,Concert Band,Dancing in the Rain,
F 18,"Gould, Morton",NC,Appalachian State University,Symphony Band,American Salute,
Spr 19,"Gould, Morton",NC,Appalachian State University,Symphony Band,Ballad for Band,
F 19,"Gould, Morton",CA,California State Univeristy,Concert Band,Pavanne from Symphonette No. 2,
F 19,"Gould, Morton",CA,Concordia University - Irvine,Wind Orchestra,"Symphony No. 4 - ""West Point""",
F 18,"Grainger, Percy",NC,Appalachian State University,Symphony Band,Colonial Song,
F 19,"Grainger, Percy",CA,California State Univeristy,Concert Band,Handel in the Strand,Goldman
Spr 19,"Grainger, Percy",OR,Clackamas Community College,Wind Ensemble,Lads of the Wamphray,
Spr 19,"Grainger, Percy",OH,Denison University,Wind Ensemble,Irish Tune from County Derry,
Spr 19,"Grainger, Percy",OH,Denison University,Wind Ensemble,Shepherd's Hey,
F 18,"Grainger, Percy",TN,East Tennessee State University,Wind Ensemble,Lincolnshire Posy,
Spr 19,"Grainger, Percy",TN,East Tennessee State University,Wind Ensemble,Molly on the Shore,
F 18,"Grainger, Percy",NY,Hartwick College,Wind Ensemble,Country Gardens,Sousa
Spr 19,"Grainger, Percy",KS,Hutchinson Community College,Wind Symphony,Ye Banks and Braes O'Bonnie Doon,
Spr 19,"Grainger, Percy",IN,Indiana University,Concert Band,Spoon River,Carson/Naylor
F 18,"Grainger, Percy",IN,Indiana University,"All 3 (WE, SB, CB)",The Gum Suckers March,Rogers
F 18,"Grantham, Donald",IN,Indiana University,Wind Ensemble,Fantasy Variations on Gershwin's Prelude No. 2,
F 18,"Grantham, Donald",TN,Johnson City Community Concert Band,Concert Band,"Southern Harmony (Mvts - I, III)",
Spr 19,"Grantham, Donald",GA,Kennesaw State University,Symphonic Band,Effulgent Light,
F 18,"Grantham, Donald",GA,Kennesaw State University,Wind Ensemble,Fantasy Variations on Gershwin's Prelude No. 2,
Spr 19,"Green, George Hamilton",NC,Appalachian State University,Concert Band,Rainbow Ripples,Werle
Spr 19,"Grundman, Clare",NY,Hartwick College,SUNY Broome Concert Band,A Walking Tune,
Spr 19,"Grundman, Clare",NY,Hartwick College,SUNY Broome Concert Band,American Folk Rhapsody No. 1,
F 18,"Grundman, Clare",TN,Johnson City Community Concert Band,Concert Band,An Irish Rhapsody,
F 18,"Grundman, Clare",GA,Kennesaw State University,University Band,American Folk Rhapsody No. 1,
F 18,"Guilmont, Alexandre",NY,Hartwick College,Wind Ensemble,Morceau Symphonique,Shepard
Spr 19,"Handy, W.C",TN,Johnson City Community Concert Band,Concert Band,St. Louis Blues,Nowak
Spr 19,"Hanson, Howard",NC,Appalachian State University,Symphony Band,Chorale and Alleluia,
F 18,"Hanson, Shelley",AR,Henderson State University,Wind Ensemble,Elegy for Albinoni,
Spr 19,"Hanson, Shelley",KS,Kansas State University,Concert Band,Albanian Dance,
Spr 19,"Harris, JoAnne",NY,Hartwick College,Wind Ensemble,The Lighthouse,
Spr 19,"Hazo, Samuel",NC,Appalachian State University,Symphony Band,Arabesque,
F 18,"Hazo, Samuel",NC,Appalachian State University,Symphony Band,Perthshire Majesty,
Spr 19,"Hazo, Samuel",IL,Concordia University,University Band,Fantasy on a Japanese Folk Song,
F 18,"Hazo, Samuel",TN,Johnson City Community Concert Band,Concert Band,Enchanted Spaces,
F 19,"Hazo, Samuel R",CA,California State Univeristy,Concert Band,Exultate,
F 19,"Hazo, Samuel R",CA,Concordia University - Irvine,Wind Orchestra,From Gold,
F 18,"Heed, John C.",IN,Indiana University,"All 3 (WE, SB, CB)",In Storm and Sunshine,Bourgeois
Spr 19,"Hegeman, Derrick",NC,Appalachian State University,Concert Band,The Other Side of Hope,
Spr 19,"Hérold, Ferdinand",NC,Appalachian State University,Wind Ensemble,Zampa Overture,"Sofrank, V.F"
F 18,"Hesketh, Kenneth",IN,Indiana University,Concert Band,Quodling's Delight from Danceries (Set 1),
Spr 19,"Himes, William",IL,Concordia University,University Band,Amazing Grace,
F 18,"Hindemith, Paul",IN,Indiana University,Wind Ensemble,Symphonic Metamorphosis of Themes by Carl Maria von Weber,Wilson
Spr 19,"Hindemith, Paul",MI,Interlochen Arts Academy,Band,Symphonic Metamorphosis of Themes by Carl Maria von Weber,Wilson
F 18,"Hindemith, Paul",GA,Kennesaw State University,Wind Ensemble,Symphonic Metamorphosis of Themes by Carl Maria von Weber (Mvt. II),Lindsey
F 19,"Holsinger, David",CA,Concordia University - Irvine,Wind Orchestra,A Childhood Hymn,
F 19,"Holsinger, David",CA,Concordia University - Irvine,Wind Orchestra,Fantasy on a Gaelic Hymnsong,
Spr 19,"Holst, Gustav",SC,Bob Jones University,Symphonic Wind Band,First Suite in E-Flat,
Spr 19,"Holst, Gustav",SC,Bob Jones University,Symphonic Wind Band,Moorside March,Jacob
F 18,"Holst, Gustav",CA,Cal Poly Pomona University,Wind Ensemble,Moorside March,Jacob
F 18,"Holst, Gustav",CA,Cal Poly Pomona University,Wind Ensemble,Second Suite in F,
F 19,"Holst, Gustav",CA,California State Univeristy,Symphonic Band,Moorside March,
Spr 19,"Holst, Gustav",OH,Denison University,Wind Ensemble,Hammersmith,
Spr 19,"Holst, Gustav",IN,Indiana University,Symphonic Band,Second Suite in F,Matthews
F 18,"Holst, Gustav",KS,Kansas State University,Wind Symphony,Second Suite in F,Fennell
F 18,"Holst, Gustav",GA,Kennesaw State University,Wind Symphony,First Suite in E-Flat,
Spr 19,"Huff, Will",OH,Columbus State Community College,Concert Band,Our Favorite Rag,
Spr 19,"Huffine, Getty Herschel",SC,Bob Jones University,Symphonic Wind Band,Them Basses,
F 18,"Husa, Karel",AR,Henderson State University,Wind Ensemble,Divertimento for Brass and Percussion,
F 18,"Husa, Karel",IN,Indiana University,Wind Ensemble,Smetana Fanfare,
Spr 19,"Ibert, Jacques",MI,Interlochen Arts Academy,Band,Cello Concerto,
F 19,"Ireland, John",CA,Concordia University - Irvine,Wind Orchestra,Epic March,Grimo
F 18,"Ito, Yasuhide",KS,Kansas State University,Wind Symphony,"Festal Scenes: Jojôteki-""Matsuri""",
F 19,"Ives, Charles",KS,Hutchinson Community College,Wind Symphony,Old Home Days Suite,Elkus
F 18,"Ives, Charles",IN,Indiana University,Wind Ensemble,Variations on America,Rhoads
Spr 19,"Jacob, Gordon",NC,Appalachian State University,Concert Band,An Original Suite,
F 18,"Jager, Robert",NC,Appalachian State University,Symphony Band,Sinfonia Nosbilissima,
F 18,"Jager, Robert",SC,Bob Jones University,Symphonic Wind Band,Esprit de Corps,
Spr 19,"Jolley, Jennifer",SC,Clemson University,Symphonic Band,Lichtweg/Lightway,
Spr 19,"Jolley, Jennifer",OH,Denison University,Wind Ensemble,Blue Glacier Decoy,
Spr 19,"Jolley, Jennifer",IN,Indiana University,Concert Band,Ash,
F 18,"Kabalevsky, Dmitri",IL,Concordia University,Wind Symphony,Galop,
F 18,"Karrick, Brant",IN,Indiana University,Concert Band,Bayou Breakdown,
F 18,"King, Karl L.",OH,Bowling Green State University,Wind Symphony,The Iowa Band Law,
F 18,"Kirkpatrick, William J.",SC,Bob Jones University,Symphonic Wind Band,Away in a Manger,Willberg/Louvrein
F 18,"Knorr, Geoff",IL,Concordia University,Wind Symphony,I Vow to Thee,
Spr 19,"Knorr, Geoff",IL,Concordia University,Symphonic Band,"I Vow to Thee, My Country",
F 18,"Koh, Emily",OH,Bowling Green State University,Wind Symphony,diver[city],
F 19,"Langenfeld, Robert",KS,Hutchinson Community College,Wind Symphony,Relfections,
F 18,"Larsen, Libby",KS,Kansas State University,Wind Ensemble,Holy Roller,
F 18,"Lauridsen, Morten",SC,Bob Jones University,Symphonic Wind Band,O Magnum Mysterium,Reynolds
F 18,"Lauridsen, Morten",TN,East Tennessee State University,Wind Ensemble,O Magnum Mysterium,Reynolds
F 18,"Lauridsen, Morten",IN,Indiana University,"All 3 (WE, SB, CB)",O Magnum Mysterium,Reynolds
F 18,"Lavallée, Calixia",KS,Kansas State University,Wind Ensemble,O Canada,
F 19,"Lecuona, Ernesto",KS,Hutchinson Community College,Wind Symphony,Malaguena,Barnes
Spr 19,"Lee, Hyekyung",OH,Denison University,Wind Ensemble,Falling,
F 18,"Leemans, Pieter",IA,Graceland University,Symphonic Band,March of the Belgian Parachutist,Swearingen
F 18,"Lenz, Patrick",IN,Indiana University,Concert Band,Pillar of Fire,
F 18,"Lenz, Patrick",IN,Indiana University,Symphonic Band,Pillar of Fire,
F 18,"Liszt, Franz",KS,Kansas State University,Wind Ensemble,Hungarian Attack March,
F 18,"Loewe, Frederick",AK,Anchorage Community College,Concert Band,My Fair Lady,Bennett
F 18,"Lovrien, David",SC,Bob Jones University,Symphonic Wind Band,Minor Alterations: Through the Looking Glass,
F 18,"Mackey, John",CA,Cal Poly Pomona University,Symphonic Band,Lightning Field,
F 19,"Mackey, John",CA,California State Univeristy,Symphonic Band,Sheltering Sky,
Spr 19,"Mackey, John",NY,Hartwick College,Wind Ensemble,The Cruel Moon,
Spr 19,"Mackey, John",KS,Hutchinson Community College,Wind Symphony,Undertow,
F 18,"Mackey, John",IN,Indiana University,Wind Ensemble,Songs from the End of the World,
F 18,"Mackey, John",KS,Kansas State University,Wind Symphony,"Night on Fire from ""The Soul Has Many Motions""",
F 18,"Mackey, John",KS,Kansas State University,Wind Ensemble,Ringmaster's March,
F 18,"Mackey, John",GA,Kennesaw State University,Wind Symphony,Hymn to a Blue Hour,
Spr 19,"Magdeburg, Joachim / Bach, J. S.",IL,Concordia University,Symphonic Band,Who Puts HIs Trust in God Most Just,Croft
Spr 19,"Mahler, Gustav",NC,Appalachian State University,Wind Ensemble,Um Mitternacht,
F 19,"Mahr, Timothy",CA,California State Univeristy,Concert Band,Mountain Prayers,
F 18,"Mahr, Timothy",NY,Hartwick College,Wind Ensemble,Daydream,
F 18,"Markowski, Michael",CA,Cal Poly Pomona University,Symphonic Band,Shine,
Spr 19,"Markowski, Michael",TN,East Tennessee State University,Wind Ensemble,joyRIDE,
Spr 19,"Markowski, Michael",GA,Kennesaw State University,Symphonic Band,Instinctive Travels,
Spr 19,"Márquez, Arturo",OR,Clackamas Community College,Wind Ensemble,Danzón No. 2,Nickel
Spr 19,"Márquez, Arturo",KS,Hutchinson Community College,Wind Symphony,Danzón No. 2,Nickel
F 18,"Maslanka, David",OR,Clackamas Community College,Wind Ensemble,Mother Earth,
F 18,"Maslanka, David",IL,Concordia University,Wind Symphony,Give Us This Day - Short Symphony for Wind Ensemble,
F 18,"Maslanka, David",IN,Indiana University,Wind Ensemble,A Child's Garden of Dreams,
Spr 19,"Maslanka, David",MI,Interlochen Arts Academy,Band,Symphony 4,
F 18,"Maslanka, David",KS,Kansas State University,Wind Ensemble,Symphony No. 10,
F 18,"Maslanka, David",GA,Kennesaw State University,Wind Ensemble,Symphony No. 10,
Spr 19,"Maslanka, David/Maslanka, Matthew",NC,Appalachian State University,Wind Ensemble,Symphony No. 10: The River of Time,
F 18,"Massenety, Jules",IL,Concordia University,University Band,Meditation from Thais,Harding
Spr 19,"McBeth, Francis W.",OR,Clackamas Community College,Wind Ensemble,They Hung Their Harps in the Wililows,
Spr 19,"McCartney, Paul",OH,Columbus State Community College,Concert Band,Live and Let Die,Murtha
F 18,"McDougall, Ian",SC,Bob Jones University,Symphonic Wind Band,Bells,
F 18,"McGinty, Anne",GA,Kennesaw State University,University Band,All the Pretty Horses,
Spr 19,"Mennin, Peter",NC,Appalachian State University,Symphony Band,Canzona,
F 18,"Mennin, Peter",TN,Johnson City Community Concert Band,Concert Band,Canzona,
F 18,"Milhaud, Darius",NC,Appalachian State University,Symphony Band,Suite Française,
F 19,"Milhaud, Darius",CA,California State Univeristy,Concert Band,Suite Française,
Spr 19,"Milhaud, Darius",IN,Indiana University,Wind Ensemble,La création du monde,
F 19,anonymous,CA,Concordia University - Irvine,Wind Orchestra,A Hymn for St. Michael and All Angels,"Duncan, Owen"
F 18,anonymous,TN,East Tennessee State University,Wind Ensemble,Holiday Portraits,"O'Loughlin, Sean"
F 18,anonymous,TN,East Tennessee State University,Concert Band,"Jesus, Jesu Rest Your Head","Wallace, Tom"
F 19,anonymous,KS,Hutchinson Community College,Wind Symphony,Home on the Range,Barnes
Spr 19,anonymous,KS,Hutchinson Community College,Wind Symphony,"Stardust, Hoagie Carmichael",Bullock
F 18,anonymous,TN,Johnson City Community Concert Band,Concert Band,Secret Agent Santa,"Summons, Jeff"
F 18,anonymous,TN,Johnson City Community Concert Band,Concert Band,Ukrainian Bell Carol,"Saucedo, Richard"
Spr 19,anonymous,TN,Johnson City Community Concert Band,Concert Band,"William Byrd Suite (Mvts. - I, III, V)","Jacob, Gordon"
Spr 19,"Moncayo, José Pablo",SC,Clemson University,Symphonic Band,Huapango,Osman
F 18,"Movhaness, Alan",OR,Clackamas Community College,Wind Ensemble,Mysterious Mountain from Symphony No. 2,Erickson
Spr 19,"Mozart, Wolfgang Amadeus",OH,Columbus State Community College,Concert Band,Concerto for Two Pianos (Mvt III),Dich
F 18,"Mruzek, David M.",OH,Columbus State Community College,Concert Band,Kentuckiana March,
Spr 19,"Munn, Zae",OH,Denison University,Wind Ensemble,Absorb,
Spr 19,"Navarro, Oscar",MI,Interlochen Arts Academy,Band,Libertadores,
Spr 19,"Needham, Clint",MI,Interlochen Arts Academy,Band,"Resolve: Ballet/Concerto for Bass Trio, Wind Ensemble and Dancers",
Spr 19,"Nelson, Ron",NC,Appalachian State University,Wind Ensemble,Rocky Point Holiday,
F 18,"Nelson, Ron",SC,Bob Jones University,Symphonic Wind Band,Lauds [High Praise Day],
Spr 19,"Nelson, Ron",IN,Indiana University,Wind Ensemble,Passacaglia (Homage on B-A-C-H),
F 18,"Nelson, Ron",IN,Indiana University,Symphonic Band,Pastorale: Autumn Rose,
F 18,"Nelson, Ron",GA,Kennesaw State University,University Band,Courtly Airs and Dances,
F 18,"Nelson, Ron",GA,Kennesaw State University,University Band,Courtly Airs and Dances,
F 18,"Newman, Jonathan",GA,Kennesaw State University,Wind Symphony,As the scent of spring rain…,
